id,title,authors,year,venue,doi,pdf_link,abstract,keywords,search_string
33,Automating Physics-Based Reasoning for SysML Model Validation,C. Chambers; S. Mueller; P. Ganeriwala; C. Sen; S. Bhattacharyya,2025,2025 IEEE International systems Conference (SysCon),10.1109/SysCon64521.2025.11014788,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014788,"System and software design benefits greatly from formal modeling, allowing for automated analysis and verification early in the design phase. Current methods excel at checking information flow and component interactions, ensuring consistency, and identifying dependencies within Systems Modeling Language (SysML) models. However, these approaches often lack the capability to perform physics-based reasoning about a system's behavior represented in SysML models, particularly in the electromechanical domain. This significant gap critically hinders the ability to automatically and effectively verify the correctness and consistency of the model's behavior against well-established underlying physical principles. Therefore, this paper presents an approach that leverages existing research on function representation, including formal languages, graphical representations, and reasoning algorithms, and integrates them with physics-based verification techniques. Four case studies (coffeemaker, vacuum cleaner, hairdryer, and wired speaker) are inspected to illustrate the model's practicality and effectiveness in performing physics-based reasoning on systems modeled in SysML. This automated physics-based reasoning is broken into two main categories: (i) structural, which is performed on BDD and IBD, and (ii) functional, which is then performed on activity diagrams. This work advances the field of automated reasoning by providing a framework for verifying structural and functional correctness and consistency with physical laws within SysML models.",Formal representation and reasoning;Function-based Design;Model-Based Systems Engineering,String A
34,A Lane Segmentation and Traffic Object Detection Multi-task Neural Network for AR-HUD,F. Huizong; W. Xin; F. Mingchi; B. Chuanxia,2021,2021 China Automation Congress (CAC),10.1109/CAC53003.2021.9727615,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9727615,"AR-HUD combines virtual information and real traffic conditions with augmented reality technology to achieve timely forecasting of road conditions, vehicle and pedestrian information, which is an important research direction in the field of intelligent driving. The environment perception module is an important component of AR-HUD, which usually has functions as object detection and lane segmentation. Currently, existing neural network models are mainly oriented to various single-task vision scenarios, which are not applicable to in-vehicle AR-HUD and can hardly meet the real-time requirements. To address this problem, this paper proposes a lightweight multi-task convolutional neural network DS-Net applied to the AR-HUD environment perception module. We train as well as test on the BDD 100K dataset and deploy the trained model to a mobile embedded platform to achieve real-time simultaneous detection and segmentation. Experimental results show that the multi-task network proposed in this paper achieves the processing speed of 23.7 frames per second on the embedded platform and maintain competitive accuracy.",AR-HUD;multi-task convolutional neural networks;object detection;lane segmentation,String A
35,Automated Behaviour-Driven Acceptance Testing of Robotic Systems,M. Nguyen; S. Wrede; N. Hochgeschwender,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS60139.2025.11246121,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246121,"The specification and validation of robotics applications require bridging the gap between formulating requirements and systematic testing. This often involves manual and error-prone tasks that become more complex as requirements, design, and implementation evolve. To address this challenge systematically, we propose extending behaviour-driven development (BDD) to define and verify acceptance criteria for robotic systems. In this context, we use domain-specific modelling and represent composable BDD models as knowledge graphs for robust querying and manipulation, facilitating the generation of executable testing models. A domain-specific language helps to efficiently specify robotic acceptance criteria. We explore the potential for automated generation and execution of acceptance tests through a software architecture that integrates a BDD framework, Isaac Sim, and model transformations, focusing on acceptance criteria for pick-and-place applications. We tested this architecture with an existing pick-and-place implementation and evaluated the execution results, which shows how this application behaves and fails differently when tested against variations of the agent and environment. This research advances the rigorous and automated evaluation of robotic systems, contributing to their reliability and trustworthiness.",,String A
36,Improved BDD Binary Logic Algorithm: Hidden BDD Algorithm,Z. -X. Gao; Z. -L. Wang; Y. Ren; D. -Z. Yang; L. -L. Liu; Q. Feng; B. Sun,2019,"2019 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE)",10.1109/QR2MSE46217.2019.9021170,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9021170,"This paper first introduces the principle of BDD algorithm, then gives the definition of 1-structure function and 0-structural function, and derives the 1-structure and 0-structure function of each logic gate based on the principle of disjoint of BDD. Next, the concept of hidden BDD is proposed. Then the algorithm flow is proposed, The algorithm does not need to sort the bottom event, nor does it need to construct and optimize BDD, that is, it can directly obtain the top event structure function and use the structure function to perform quantitative calculation. The algorithm can simplify the encoding process, reduce the related steps around the BDD in order to obtain the structure function, and improve the computational efficiency. Finally, a case is given to illustrate the correctness and effectiveness of the algorithm.",BDD;structure function;hidden BDD;top event;encoding process,String B
37,Behavior Driven Development Approach in the Modern Quality Control Process,O. Bezsmertnyi; N. Golian; V. Golian; I. Afanasieva,2020,2020 IEEE International Conference on Problems of Infocommunications. Science and Technology (PIC S&T),10.1109/PICST51311.2020.9467891,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9467891,"Nowadays usually the Behavior Driven Development is the approach of choice for the quality control engineers, especially for the long-term projects with the big amount of the audits, because of its main advantage - clear test scenarios visualization and understanding for the not involved persons. However, this approach could not reach its maximum efficiency without proper usage, but the documentation covers only the high-level practices which are not always enough to write the good test scenarios. That is why it is needed to describe the best practices and techniques of the usage of behavior-driven development, formed with the experience of its use. These practices would help to create correct and well understandable behavior scenarios, with the ability to use them as part of the technical documentation. Behavior-driven development would be considered in the comparison with the test-driven development and the domain-driven design approaches - the other important strategies in the quality assurance process.",behaviour driven development;test driven development;quality control;gherkin;practice;technique;scenario;feature;keyword;step,String B
38,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,S. S. Murugan; M. Balamurugan,2025,"2025 6th International Conference on Communication, Computing & Industry 6.0 (C2I6)",10.1109/C2I666499.2025.11366954,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366954,"This work proposes a framework to improve test automation for Android applications using Behavior-Driven Development (BDD). It addresses the challenges posed by dynamic user interfaces, complex view hierarchies, and unstable locators by capturing user interactions through browser-mirrored Android screens. The framework integrates AI-based widget classification, image-based object detection, and dynamic XPath generation to enhance locator reliability. Test scenarios-including positive, negative, and boundary cases are structured in JSON and automatically converted into BDD feature files, increasing test coverage and minimizing redundancy. Automation of script generation and locator healing reduces manual effort while improving scalability, accuracy, and efficiency in test case management. The optimized validation pipeline supports comprehensive scenario generation and accelerates functional testing, thereby improving software quality in dynamic Android environments.",BDD;locator;widget;JSON,String B
39,The Behavior Driven Development Applied to the Software Quality Test:,M. G. Cavalcante; J. I. Sales,2019,2019 14th Iberian Conference on Information Systems and Technologies (CISTI),10.23919/CISTI.2019.8760965,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760965,"The mechanisms of private investment in Brazilian sport are one of the main sources of resources that athletes hold to promote participation in high-performance competitions. In order to improve this flow, softwares are designed to shorten the path between donors and recipients. These tools, such as “Meu Campeãu” used in this paper, require efficient analysis of the quality of the product offered. Concepts known as agile methodologies have brought a new style to the analysis of the software developed, and one of them has gained considerable prominence, known such as BDD (Behavior Driven Development), so this paper aims to analyze the implementation of Behavior Driven Development in the software quality verification process “Meu Campeãu”.",Behavior Driven Development;Software Quality Test;Sports Financing,String B
40,An Adaptive Metric for Node Substitution-Based BDD Minimization,A. U. Hassen; F. A. Khan,2021,2021 IEEE International Symposium on Circuits and Systems (ISCAS),10.1109/ISCAS51556.2021.9401583,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9401583,Modern computing workloads are becoming increasingly demanding and data-intensive. ASIC implementations designed for such computing workloads can consume valuable resources in terms of device size and system cost. Approximate Computing helps in preserving such resources in the case of applications that are error tolerant. We propose an Approximate Computing method that uses an adaptive heuristic to reduce the size of Reduced Ordered Binary Decision Diagrams through node substitutions. We establish the efficacy of our technique by showing improvement over a range of ISCAS-89 benchmarks.,Approximate Computing;BDD Minimization;Approximate Synthesis;ROBDD;Decision Diagrams,String B
41,Agentic BDD Testing of Dialog Systems: Stabilizing the Dialog Manager via Failure-Driven Evolution,O. Dukić; O. Ristić,2025,2025 33rd Telecommunications Forum (TELFOR),10.1109/TELFOR67910.2025.11314366,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11314366,"We present a lightweight agentic framework for behavior-driven (BDD) testing of dialog systems. It runs YAML scenarios against a production Dialog Manager (DM) via a thin API and applies a two-layer test oracle (substring on text + expected DM state), logging per-step metrics. On an educational chatbot (3 flows, 6 scenarios), minor fixes improve 85/90 (94.4%) to 89/94 (94.7%) and cut flaky cases from 16.7% to 11.1%, with 100% pass in flows A and B. The framework acts as a CI/CD quality gate.",agent-based testing;behavior-driven development (BDD);dialog systems;chatbots,String B
42,SPEcBCFuzz: Fuzzing LTL Solvers with Boundary Conditions,L. Carvalho; R. Degiovanni; M. Cordy; N. Aguirre; Y. L. Traon; M. Papadakis,2024,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),10.1145/3597503.3639087,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548218,"LTL solvers check the satisfiability of Linear-time Temporal Logic (LTL) formulas and are widely used for verifying and testing critical software systems. Thus, potential bugs in the solvers' implemen-tations can have a significant impact. We present SPECBCFUZZ, a fuzzing method for finding bugs in LTL solvers, that is guided by boundary conditions (BCs), corner cases whose (un)satisfiability depends on rare traces. SPECBCFUZZ implements a search-based algorithm that fuzzes LTL formulas giving relevance to BCs. It inte-grates syntactic and semantic similarity metrics to explore the vicinity of the seeded formulas with BCs. We evaluate SPECBCFUZZ on 21 different configurations (including the latest and past releases) of four mature and state-of-the-art LTL solvers (NuSMV, Black, Aalta, and PLTL) that implement a diverse set of satisfiability algorithms. SPECBCFUZZ produces 368,716 bug-triggering formulas, detecting bugs in 18 out of the 21 solvers' configurations we study. Over-all, SPECBCFUZZ reveals: soundness issues (wrong answers given by a solver) in Aalta and PLTL; crashes, e.g., segmentation faults, in NuSMV, Black and Aalta; flaky behaviors (different responses across re-runs of the solver on the same formula) in NuSMV and Aalta; performance bugs (large time performance degradation between successive versions of the solver on the same formula) in Black, Aalta and PLTL; and no bug in NuSMV BDD (all versions), suggesting that the latter is currently the most robust solver.",Fuzzing;Search-Based Software Engineering;Linear-time Temporal Logic,String B
43,Assessing The Effectiveness Of Test-Driven Development and Behavior-Driven Development in an Industry Setting,A. S. Dookhun; L. Nagowah,2019,2019 International Conference on Computational Intelligence and Knowledge Economy (ICCIKE),10.1109/ICCIKE47802.2019.9004328,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9004328,"Agile software development deviates from the traditional and plan-based approaches to software engineering as its iterative cycles embrace changes in software requirements. Test-Driven Development (TDD) and Behavior-Driven Development (BDD) are techniques that have been recently adopted by the software industry and have evolved from agile practices. These techniques aim at improving both the quality of the delivered software and the developers' productivity. They are several studies that have been conducted on TDD in both academic and industry settings with however only a few on BDD. While TDD and BDD have both become popular, many organizations and developers still do not understand the differences between these concepts or where they overlap. The aim of this paper is to assess the effectiveness of these two approaches in terms of external code quality, internal code quality and developers' productivity. To understand the weaknesses and strengths of each of these methods, a literature review was first performed. An experiment was then carried out in an industry setting to observe the effectiveness of TDD and BDD on a number of subjects. Our results showed that both techniques indeed increased the external quality of the delivered product. However, a decrease in productivity and internal quality were noted when BDD was used compared to TDD which might be due to the additional steps involved in BDD.",Test-Driven Development;Behavior-Driven Development;TDD;BDD;productivity;quality;code coverage,String B
44,Investigation of The Influence of Data Acquisition Conditions on the Quality of the CNN-Based Vision System,A. Arhipov; I. Fomin,2022,2022 International Russian Automation Conference (RusAutoCon),10.1109/RusAutoCon54946.2022.9896368,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9896368,"Practically applied vision systems can be operated in various conditions, while their reliable operation must be ensured, regardless of the operating conditions. Currently, convolutional neural networks (CNN) are widely used in vision systems for various purposes. Since the generalizing ability of neural networks does not allow to work equally well with images whose characteristics are different from the training sample, there is often a decrease in the quality of functioning of the CNN-based vision system when weather conditions, time of day, camera position, etc. change. At the same time, it is not always obvious how much the quality will drop if the listed conditions change and within what limits these changes are permissible. In this paper, the decrease in the quality of the CNN-based vision system is investigated under the influence of unspecified changes in weather conditions, time of day and size of objects. Several well-known CNN architectures have been selected for experiments. As data for experiments, an open data set Berkeley Deep-drive Dataset was used, which has a markup of shooting conditions. As a result of experiments, it was revealed that the least effect on the quality of the vision system with a pre-trained CNN is affected by changing weather conditions, and the biggest influence is the change in the size of objects (the more the size differed from the training ones, the greater the drop in accuracy). It is worth noting that CNN InceptionV3 have greater resistance to image size changes among the popular CNN architectures under consideration.",deep convolutional networks;image classification;weather conditions;time of day;size of objects;Berkeley Deepdrive Dataset (BDD),String B
45,A BDD-Based Analysis Method for Probabilistic Competing Failures of Multi-State Sensor Array System,L. Chen; L. Zhang,2019,"2019 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE)",10.1109/QR2MSE46217.2019.9021139,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9021139,"The sensor array system is an advanced equipment based on modern detection and sensor technology. It was developed to qualitatively and quantitatively analyze complex mixed odor or liquid sample. In general, sensor arrays are used in conjunction with pattern recognition algorithms. Replacing any sensor means performing a large number of calibration tests on the device. Therefore, the sensor array system is usually not repairable once it is made. It is significant to research the reliability of sensor array system. The system reliability is modeled in this paper, and the method of reliability analysis is given by establishing FT (fault tree) and BDD(binary decision diagram) [1]. Based on the three different fault states of sensor array system when the sensor part follows the weibull distribution, this paper analyzes the influence on the system reliability when the shape parameter Q is changed. In addition, the reliability change of the system is also discussed in case of failure caused by unknown failure. Finally, an example is given to illustrate the application of this method.",sensor array system;fault tree;binary decision diagram;system failure;reliability analysis,String B
46,ISSAFE: Improving Semantic Segmentation in Accidents by Fusing Event-based Data,J. Zhang; K. Yang; R. Stiefelhagen,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS51168.2021.9636109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636109,"Ensuring the safety of all traffic participants is a prerequisite for bringing intelligent vehicles closer to practical applications. The assistance system should not only achieve high accuracy under normal conditions, but obtain robust perception against extreme situations. However, traffic accidents that involve object collisions, deformations, overturns, etc., yet unseen in most training sets, will largely harm the performance of existing semantic segmentation models. To tackle this issue, we present a rarely addressed task regarding semantic segmentation in accidental scenarios, along with an accident dataset DADA-seg. It contains 313 various accident sequences with 40 frames each, of which the time windows are located before and during a traffic accident. Every 11th frame is manually annotated for benchmarking the segmentation performance. Furthermore, we propose a novel event-based multi-modal segmentation architecture ISSAFE. Our experiments indicate that event-based data can provide complementary information to stabilize semantic segmentation under adverse conditions by preserving fine-grain motion of fast-moving foreground (crash objects) in accidents. Our approach achieves +8.2% mIoU performance gain on the proposed evaluation set, exceeding more than 10 state-of-the-art segmentation methods. The proposed ISSAFE architecture is demonstrated to be consistently effective for models learned on multiple source databases including Cityscapes, KITTI-360, BDD and ApolloScape.",,String B
47,Enhancing the Student Learning Experience by Adopting TDD and BDD in Course Projects,F. G. Rocha; L. S. Souza; T. S. Silva; G. Rodríguez,2021,2021 IEEE Global Engineering Education Conference (EDUCON),10.1109/EDUCON46332.2021.9453916,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453916,"A demonstration of the application and contribution of Test-Driven Development (TDD) and Behavior-Driven Development (BDD) in the student learning experience in the context of a Software Engineering course. Background: Software testing is an activity for ensuring software quality. Although teaching testing rigorously to students is a priority in academia, undergraduate students often encounter difficulties performing testing tasks effectively. Intended Outcomes: To increase satisfaction rate and course grades, and reduce delivery time. Application Design: We experimented with the Software Engineering Laboratory (LES) course of a Private University in the Bachelor of Computer Science and Information Systems courses. This experiment corroborated the learning difficulties of students. Collected data were assessed both quantitatively and qualitatively. Findings: Backed up with statistical tests, the results showed a reduction in student absences, higher student satisfaction rate, and higher grades in the courses. Furthermore, our approach allowed students to deliver a product in a short period, representing a possibility of adoption of BDD due to their successful learning experience. Finally, we aim to foster a discussion of appropriate teaching methods of software testing.",Software Testing;Student Learning Experience;Software Engineering Education;course Project;Agile Software Development,String B
48,Visual Test Framework: Enhancing Software Test Automation with Visual Artificial Intelligence and Behavioral Driven Development,R. K. C. Ragel; F. F. Balahadia,2023,"2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",10.1109/HNICEM60674.2023.10589222,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589222,"Software test automation plays a crucial role in today's software needs. Traditional test automation approaches often rely on script-based testing, which can be time-consuming, error-prone, and challenging to maintain. In recent years, Visual AI (Artificial Intelligence) and Behavior Driven Development (BDD) have emerged as valuable approaches to enhance the efficiency and effectiveness of software testing. Visual AI leverages machine learning algorithms to identify visual differences in Graphical User Interfaces (GUI), accelerating the test automation process and improving accuracy. BDD focuses on defining and automating system behavior from the end-user perspective, fostering collaboration between stakeholders and eliminating the need for specialized technical expertise. This paper explores the integration of Visual AI and BDD in software test automation, aiming to evaluate its impact on test creation, execution, and maintenance. The research employs a mixed-methods approach, including surveys and evaluations of the Visual Test Framework integrated with Visual AI tools. The findings provide valuable insights into the benefits and challenges of integrating Visual AI and BDD in software test automation, highlighting their potential to streamline testing processes, improve accuracy, and eliminate technical barriers. This paper recommends the usage of Visual AI with BDD",Visual AI;Behavioral Driven Development (BDD);Graphical User Interface (GUI);Software Quality;Software Testing;Test Automation;Framework;Applitools,String B
49,Scenario-Based Microservice Retrieval Using Word2Vec,S. -P. Ma; Y. Chuang; C. -W. Lan; H. -M. Chen; C. -Y. Huang; C. -Y. Li,2018,2018 IEEE 15th International Conference on e-Business Engineering (ICEBE),10.1109/ICEBE.2018.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8592657,"Microservice architecture (MSA) is an emerging software architectural style, which differs fundamentally from the monolithic, layered architecture. During the development and maintenance of microservice systems, how to provide an effective service retrieval mechanism is a critical challenge to avoid the problems of rework and duplicate code. Meanwhile, nowadays, using the BDD (Behavior-Driven Development) method to develop microservices becomes more and more popular due to its agility and domain-driven characteristics. BDD is an agile software development approach emphasizing that test cases are written in a common language to include scenarios that describe the features of a target system. In this paper, we propose an approach, referred to as SMSR (Scenario-based MicroService Retrieval), to recommend appropriate microservices to users based on the user-written BDD test scenarios. The proposed service retrieval algorithm is based on word2vec, a widely-used machine learning method in NLP (Natural Language Processing), to perform service filtering and service similarity calculation. Experiment results show that SMSR is able to effectively retrieve appropriate microservices from the service repository.","Microservice, Microservice Retrieval, Requirement Scenario, Behavior-Driven Development, word2vec",String B
50,Assessing the Quality of Behavior-Driven Development Scenarios Using BERT,N. Alinezhadtilaki; C. Evans,2025,2025 IEEE 4th International Conference on Computing and Machine Intelligence (ICMI),10.1109/ICMI65310.2025.11141197,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11141197,"This research investigates the application of BERT (Bidirectional Encoder Representations from Transformers), a state-of-the-art Machine Learning (ML) model for Natural Language Processing (NLP), to improve the quality assessment of Behavior-Driven Development (BDD) scenarios. BDD is a widely used technique in Agile software development, which clarifies feature behavior by defining test scenarios for user stories. While user stories are effective for outlining software requirements, they often lack detailed validation criteria, and the manual evaluation of BDD scenarios can be time-consuming and subjective, leading to inconsistencies, rework, and project delays. To address these challenges, this study explores how BERT can enhance scenario evaluation by leveraging its advanced language understanding capabilities to detect ambiguities and inconsistencies more accurately than traditional methods. Precision, which measures the accuracy of the model's correct predictions, was 70.1 %, indicating how often the model's identified defects were truly defects. Recall, the measure of how many relevant defects the model successfully identified, reached 80.5 %. The F1 score, a balance between precision and recall, was 75.3 %, demonstrating BERT's effectiveness in handling imbalanced data. These results suggest that BERT significantly improves both the objectivity and efficiency of BDD scenario evaluation, offering a valuable tool for enhancing software development processes. This research contributes to the integration of NLP in Agile software development, providing a foundation for future exploration of AI-driven solutions for improving software quality and requirement documentation.",Natural Language Processing;Behavior Driven Development;Machine Learning;Agile;Software Quality;AI Solutions,String B
51,"Locate, Execute, Expect Design Pattern",A. -M. Vadan; L. C. Miclea,2022,"2022 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",10.1109/AQTR55203.2022.9801987,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9801987,"This article is about Locate Execute Expect design pattern. In the beginning we will discuss about the purpose of this pattern.We will review the general structure of a classic framework where there is a Page Object Model structure and then we will present the Locate Execute Expect structure. We will show some advantages and disadvantages for both patterns.After this comparison, we need to see the differences in a real-world scenario, and we will show you a general structure of an automation framework that does not implement a design pattern. After that we will show how the structure looks like when we have the Page Object Model and Locate Execute Expect pattern implemented.We will try to apply Locate Execute Expect pattern to a project and see how easy is to achieve this. This pattern is very flexible, and it can be used also in combination with Gherkin which is one of the most used behavior-driven development languages.In the end, we will learn when we should use this pattern and when we should avoid it.",locate;execute;expect;design;pattern;gherkin;bdd;pom;lee,String B
52,Learning Efficient Unsupervised Satellite Image-based Building Damage Detection,Y. Zhang; Z. Wang; Y. Luo; X. Yu; Z. Huang,2023,2023 IEEE International Conference on Data Mining (ICDM),10.1109/ICDM58522.2023.00206,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10415707,"Existing Building Damage Detection (BDD) methods always require labour-intensive pixel-level annotations of buildings and their conditions, hence largely limiting their applications. In this paper, we investigate a challenging yet practical scenario of BDD, Unsupervised Building Damage Detection (U-BDD), where only unlabelled pre- and post-disaster satellite image pairs are provided. As a pilot study, we have first proposed an advanced U-BDD baseline that leverages pre-trained vision-language foundation models to address the U-BDD task. However, the apparent domain gap between satellite and generic images causes low confidence in the foundation models used to identify buildings and their damages. In response, we further present a novel self-supervised framework, U-BDD++, which improves upon the U-BDD baseline by addressing domain-specific issues associated with satellite imagery. Extensive experiments on the widely used building damage assessment benchmark demonstrate the effectiveness of the proposed method for unsupervised building damage detection. The presented annotation-free and foundation model-based paradigm ensures an efficient learning phase. This study opens a new direction for real-world BDD and sets a strong baseline for future research.",building damage detection;satellite image;unsupervised learning;foundation model;disaster assessment,String B
53,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",M. Galloy; M. Balfroid; B. Vanderose; X. Devroey,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",10.1109/ICSTW64639.2025.10962479,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962479,"While state-of-the-art large language models (LLMs) show great potential for automating various Behavioral-Driven Development (BDD) related tasks, such as test generation, smaller models depend on high-quality data, which are challenging to find in sufficient quantity. To address this challenge, we adapt the SELF-INSTRUCT method to generate a large synthetic dataset from a small set of human-written high-quality scenarios. We evaluate the impact of the initial seeded scenarios’ quality on the generated scenarios by generating two synthetic datasets: one from 175 high-quality seeds and one from 175 seeds that did not meet all quality criteria. We performed a qualitative analysis using state-of-the-art quality criteria and found that the quality of seeds does not significantly influence the generation of complete and essential scenarios. However, it impacts the scenarios’ capability to focus on a single action and outcome and their compliance with Gherkin syntactic rules. During our evaluation, we also found that while raters agreed on whether a scenario was of high quality or not, they often disagreed on individual criteria, indicating a need for quality criteria easier to apply in practice.",Large Language Models (LLMs);behaviour-driven development (BDD);self-instruct,String B
54,Approach for Generating and Executing Acceptance Tests Based on Computer Vision and GPT-4,J. Quispe; H. Cordova; L. Wong,2026,2026 8th International Conference on Software Engineering and Computer Science (CSECS),10.1109/CSECS69124.2026.11541611,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11541611,"In recent years, large-scale language models (LLMs) have emerged as innovative solutions in various areas of software development. The creation of automated acceptance tests traditionally requires specialized technical knowledge and the involvement of multiple roles, resulting in waiting times and a high coding effort. This study presents an integrated system based on GPT-4 and computer vision for the generation and execution of ‘acceptance tests’ from natural language instructions. The system has two AI agents: the first generates tests in Gherkin format from textual descriptions, and the second executes the tests, interacting with the browser using GPT-4 and computer vision. The results demonstrate that the system can generate and execute consistent, functional, and reliable tests, helping to accelerate and democratize the test automation process.",LLM;GPT-4;Gherkin;AI agents;test automation;test acceptation;artificial vision,String B
55,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,L. I. Matveeva; V. Kunštár; K. Jelemenská; P. Čičák,2025,"2025 5th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",10.1109/ICECCME64568.2025.11277590,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11277590,"Effective software testing plays a key role in ensuring the quality of developed systems. Behavior-Driven Development (BDD) is an approach that promotes collaboration between technical and non-technical team members through a language based on describing the expected behavior of the system. In this research, we explore the possibilities of automated BDD scenario generation from use cases, aiming to reduce manual effort and eliminate ambiguities between teams. We compare three approaches: a manual method using NLP libraries, generation using language models with a zero-shot approach, and an extended approach using a few-shot method supported by text analysis tools. The results show that a combination of artificial intelligence, rules, and example cases provides the highest quality, consistency, and practical usability of test scenarios. The proposed solution can contribute to improving test automation in the early stages of development and support communication between technical teams and stakeholders.",Behavior-Driven Development;test scenario generation;NLP;software testing automation,String B
56,A fast BDD Minimization Framework for Approximate Computing,A. Wendler; O. Keszocze,2020,"2020 Design, Automation & Test in Europe Conference & Exhibition (DATE)",10.23919/DATE48585.2020.9116296,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9116296,"Approximate Computing is a design paradigm that trades off computational accuracy for gains in non-functional aspects such as reduced area, increased computation speed, or power reduction. Computing the error of the approximated design is an essential step to determine its quality. The computation time for determining the error can become very large, effectively rendering the entire logic approximation procedure infeasible.As a remedy, we present methods to accelerate the computation of error metric computations by (a) exploiting structural information and (b) computing estimates of the metrics for multi-output Boolean functions represented as BDDs. We further present a novel greedy, bucket-based BDD minimization framework employing the newly proposed error metric computations to produce Pareto-optimal solutions with respect to BDD size and multiple error metrics. The applicability of the proposed minimization framework is demonstrated by an experimental evaluation. We can report considerable speedups while, at the same time, creating high-quality approximated BDDs.",Approximate Computing;Design Space Exploration;Multi-Objective Optimization;BDD Minimization;Logic Minimization;Error Metrics,String B
57,"BDD-Based Error Metric Analysis, Computation and Optimization",O. Keszocze,2022,IEEE Access,10.1109/ACCESS.2022.3140557,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9669272,"Approximate Computing is a design paradigm that trades off computational accuracy for gains in non-functional aspects such as reduced area, increased computation speed, or power reduction. Computing the error of the approximated design is an essential step to determine its quality. The computation time for determining the error can become very large, effectively rendering the entire logic approximation procedure infeasible. In this work we extensively analyze various error metrics and approximation operations. We present methods to accelerate the computation of error metric computations by 1) exploiting structural information of the function obtained by applying the analyzed operations and 2) computing estimates of the metrics for multi-output Boolean functions represented as Binary Decision Diagrams (BDDs). We further present a novel greedy, bucket-based BDD minimization framework employing the newly proposed error metric computations to produce Pareto-optimal solutions with respect to BDD size and multiple error metrics. The applicability of the proposed minimization framework is demonstrated by an experimental evaluation. We can report considerable speedups while, at the same time, creating high-quality approximated BDDs. The presented framework is publicly available as open-source software on GitHub.",Approximate computing;BDD minimization;design space exploration;error metrics;logic minimization;multi-objective optimization,String B
58,Acceptance Tests over Microservices Architecture using Behaviour-Driven Development,H. R. Lima; K. C. Souza; L. V. de Paula; L. M. C. e Martins; W. F. Giozza; R. T. de Sousa,2021,2021 16th Iberian Conference on Information Systems and Technologies (CISTI),10.23919/CISTI52073.2021.9476643,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9476643,"The application of software quality assurance practices upon microservices architectures can be somehow challenging, mainly caused by the high granularity with low coupling of its software components. Since this granularity is not visible to the end user, it is difficult to assess the whole system behaviour. This paper proposes the use of Behaviour-Driven Development (BDD) technique on software development based on microservices architecture, by building test scenarios written by non-technical users and developing automated tests on API REST services layer, enabling the ability to match system results to end-user needs. Using a real scenario of a pay roll system, the applicability of the Behave BDD tool was assessed for acceptance tests automation.",acceptance tests;microservices;Behaviour-Driven Development (BDD),String B
